NoCiv,NoCivSuf,Nomrue,OdoGener,OdoParti,OdoSpeci,join_key,code_postal
1423,,Rue de Côte-d'Ivoire,Rue,de,Côte-d'Ivoire,1423 RUE DE COTE-D'IVOIRE,
3353,,Rue De Musset,Rue,,De Musset,3353 RUE DE MUSSET,
706,,Rue des Érables,Rue,des,Érables,706 RUE DES ERABLES,
2861,,Avenue Marie-Victorin,Avenue,,Marie-Victorin,2861 AV MARIE-VICTORIN,
955,,Rue de Greenwich,Rue,de,Greenwich,955 RUE DE GREENWICH,
3428,,Rue de Viau,Rue,de,Viau,3428 RUE DE VIAU,
322,,Rue Dalpé,Rue,,Dalpé,322 RUE DALPE,
3021,,Rue Jeannotte,Rue,,Jeannotte,3021 RUE JEANNOTTE,
2381,,Rue de Bayonne,Rue,de,Bayonne,2381 RUE DE BAYONNE,
1223,,Rue Suzanne,Rue,,Suzanne,1223 RUE SUZANNE,
446,,Rue de Margaux,Rue,de,Margaux,446 RUE DE MARGAUX,
3600,,Avenue de la Gare,Avenue,de la,Gare,3600 AV DE LA GARE,
532,,Rue du Grand-Héron,Rue,du,Grand-Héron,532 RUE DU GRAND-HERON,
940,,Rue George-Sand,Rue,,George-Sand,940 RUE GEORGE-SAND,
317,,Chemin des Anglais,Chemin,des,Anglais,317 CH DES ANGLAIS,
676,,Avenue Crépeau,Avenue,,Crépeau,676 AV CREPEAU,
2167,,Place Glen Abbey,Place,,Glen Abbey,2167 PLACE GLEN ABBEY,
963,,Rue de l'Amour,Rue,de l',Amour,963 RUE DE L'AMOUR,
1077,,Rue Lamartine,Rue,,Lamartine,1077 RUE LAMARTINE,
1177,,Avenue de Normandie,Avenue,de,Normandie,1177 AV DE NORMANDIE,
1323,,Rue des Laurentides,Rue,des,Laurentides,1323 RUE DES LAURENTIDES,
903,,Avenue De Maupassant,Avenue,,De Maupassant,903 AV DE MAUPASSANT,
1818,,Chemin de la Cabane-Ronde,Chemin,de la,Cabane-Ronde,1818 CH DE LA CABANE-RONDE,
91,,Rue Sunny Side,Rue,,Sunny Side,91 RUE SUNNY SIDE,
785,,Avenue Crépeau,Avenue,,Crépeau,785 AV CREPEAU,
