NoCiv,NoCivSuf,nomrue,OdoGener,OdoParti,OdoSpeci
3435,,Avenue de Charlevoix,Avenue,de,Charlevoix
434,,Rue Caron,Rue,,Caron
2913,,Rue de Calais,Rue,de,Calais
1494,,Avenue Louise,Avenue,,Louise
444,,Rue Caron,Rue,,Caron
838,,Rue Viola,Rue,,Viola
2496,,Rue du Mans,Rue,du,Mans
1052,,Rue de Berthier,Rue,de,Berthier
2862,,Croissant des Orioles,Croissant,des,Orioles
1485,,Chemin de la Côte-Georges,Chemin,de la,Côte-Georges
2880,,Place Marie-Victorin,Place,,Marie-Victorin
544,,Rue du Grand-Héron,Rue,du,Grand-Héron
1350,,Rue Barott,Rue,,Barott
2294,,Rue Bélanger,Rue,,Bélanger
1318,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
3031,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
1611,,Rue Barott,Rue,,Barott
1082,,Avenue de Châteaubriant,Avenue,de,Châteaubriant
354,,Place Sullivan,Place,,Sullivan
1158,,Avenue de Châteaubriant,Avenue,de,Châteaubriant
1136,,Chemin Pincourt,Chemin,,Pincourt
604,,Rue Chauveau,Rue,,Chauveau
2706,,Croissant des Grives,Croissant,des,Grives
2709,,Rue des Chardonnerets,Rue,des,Chardonnerets
370,,Rue des Parterres,Rue,des,Parterres
2625,,Rue Cantin,Rue,,Cantin
2833,,Chemin Saint-Philippe,Chemin,,Saint-Philippe
2121,,Avenue Pierre,Avenue,,Pierre
556,,Rue des Martins-Pêcheurs,Rue,des,Martins-Pêcheurs
1445,,Avenue Louise,Avenue,,Louise
1294,,Rue Lionel-Groulx,Rue,,Lionel-Groulx
1288,,Rue Lionel-Groulx,Rue,,Lionel-Groulx
1448,,Croissant Lemelin,Croissant,,Lemelin
698,,Rue Turenne,Rue,,Turenne
2239,,Rue de Davignac,Rue,de,Davignac
1571,,Rue Barott,Rue,,Barott
1169,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
1157,,Chemin des Anglais,Chemin,des,Anglais
1890,,Rue Barott,Rue,,Barott
837,,Rue Beaudoin,Rue,,Beaudoin
527,,Rue Andrassy,Rue,,Andrassy
1995,,Rue Pigeon,Rue,,Pigeon
1001,,Avenue de Charny,Avenue,de,Charny
2784,,Rue Gouin,Rue,,Gouin
332,,Place Corbeil,Place,,Corbeil
2051,,4e Avenue,Avenue,,4e
360,,Rue Martel,Rue,,Martel
1646,,Avenue Rawlinson,Avenue,,Rawlinson
665,,Avenue Crépeau,Avenue,,Crépeau
1313,,Rue d'Orléans,Rue,d',Orléans
459,,Place des Pluviers,Place,des,Pluviers
2532,,Avenue de Maussac,Avenue,de,Maussac
1918,,Avenue de la Gare,Avenue,de la,Gare
3307,,Rue de Gaspé,Rue,de,Gaspé
2586,,Rue Cantin,Rue,,Cantin
2418,,Croissant d'Auteuil,Croissant,d',Auteuil
933,,Rue des Épinettes,Rue,des,Épinettes
2987,,Avenue Bourque,Avenue,,Bourque
200,,Rue des Bosquets,Rue,des,Bosquets
943,,Rue Sauvé,Rue,,Sauvé
2613,,Rue Daudet,Rue,,Daudet
2200,,Avenue de la Gare,Avenue,de la,Gare
2595,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
3051,,Rue Lévesque,Rue,,Lévesque
4575,,Chemin Gascon,Chemin,,Gascon
635,,Croissant de Landreville,Croissant,de,Landreville
943,,Rue des Cerisiers,Rue,des,Cerisiers
966,,Rue des Glaïeuls,Rue,des,Glaïeuls
997,,Rue Lapointe,Rue,,Lapointe
360,,Croissant du Trianon,Croissant,du,Trianon
422,,Rue des Busards,Rue,des,Busards
1138,,Rue d'Auvergne,Rue,d',Auvergne
796,,Rue Mercier,Rue,,Mercier
1538,,Rue Center,Rue,,Center
436,,Rue Andrassy,Rue,,Andrassy
2179,,Avenue de la Gare,Avenue,de la,Gare
1510,,Rue Grignon,Rue,,Grignon
2343,,Boulevard de Mascouche,Boulevard,de,Mascouche
733,,Chemin des Anglais,Chemin,des,Anglais
385,,Croissant du Trianon,Croissant,du,Trianon
4587,,Chemin Gascon,Chemin,,Gascon
2550,,Rue des Faucons,Rue,des,Faucons
